date,dissent_t,stmt_words_change_t,stmt_novelty_t,stmt_sentiment_change_abs_t,lm_total_hedge_pct_t,stmt_new_bigram_pct_t,stmt_length_zscore_t,pre_fomc_drift_t,pre_fomc_drift_abs_t,stmt_fk_grade_t,stmt_sentiment_std_t,move_t1_t
2014-03-19,1,9.0,0.0502010583877563,0.1233632892610063,0.0133010882708585,0.2202572347266881,,-0.001003009111169,0.001003009111169,18.59002506265664,0.6148706464268289,59.209999084472656
2014-06-18,0,-15.0,0.0228668451309204,0.0673052564884225,0.0166240409207161,0.0322033898305084,,-0.0031476261429935,0.0031476261429935,19.064222258916782,0.5592465681778354,58.400001525878906
2014-09-17,2,4.0,0.0094931125640869,0.0415615758494191,0.0233463035019455,0.0609756097560975,-0.8685510649241944,0.0,0.0,19.362514279053503,0.6498373721102969,67.0999984741211
2014-12-17,3,-37.0,0.0253929495811462,0.0269253388757673,0.0240963855421686,0.1319910514541387,-1.969838303315468,0.0053961376952484,0.0053961376952484,17.36383047557425,0.6143799058212432,80.69999694824219
2015-03-18,0,14.0,0.0171879529953002,0.0902168119156902,0.0251798561151079,0.183066361556064,-0.7181590845005443,0.0042963301831632,0.0042963301831632,16.57316336799732,0.6187762195434715,86.30000305175781
2015-06-17,0,-15.0,0.0542430877685546,0.1407022581239672,0.0289575289575289,0.0878859857482185,-1.672364688986238,0.004225708500338,0.004225708500338,17.537122527989954,0.587838235629008,85.69999694824219
2015-09-17,1,25.0,0.0324316620826721,0.1079419473823355,0.0260707635009311,0.1353211009174312,0.3698546374323143,-0.0061485683128732,0.0061485683128732,17.51083908045977,0.7004867414054067,84.9000015258789
2015-12-16,0,40.0,0.0333621501922607,0.1357137881685048,0.0105633802816901,0.4070796460176991,4.013065536042614,-0.0025988505438452,0.0025988505438452,17.72717985611511,0.6110982614667692,79.5999984741211
2016-03-16,1,-12.0,0.0344870686531066,0.1214143300336399,0.0115384615384615,0.0891566265060241,-1.1669777825697063,-0.0003649857087783,0.0003649857087783,17.159809365934525,0.5833261545323564,78.47000122070312
2016-06-15,0,-11.0,0.024497628211975,0.1512628067284823,0.0136186770428015,0.0909090909090909,-1.023868146785053,0.0045184381274128,0.0045184381274128,16.598274271335708,0.6423613494625801,79.0999984741211
2016-09-21,3,35.0,0.0304739475250244,0.0247523671481758,0.0145454545454545,0.1252847380410023,6.217643517369816,-0.0009578544793649,0.0009578544793649,16.569768156424583,0.547184699987688,69.2300033569336
2016-12-14,0,-33.0,0.0108487606048583,0.1076356091217971,0.0156555772994129,0.0754257907542579,-1.0434556631047232,-0.0007552870449684,0.0007552870449684,16.787031663666216,0.5313286418208423,75.36000061035156
2017-03-15,1,0.0,0.0303881168365478,0.0939724278766989,0.0295983086680761,0.1099195710455764,-1.3125960408800053,0.0012727505854538,0.0012727505854538,17.07497835497836,0.4373832253961803,65.18000030517578
2017-06-14,1,14.0,0.0405349731445312,0.0266765662125851,0.0275590551181102,0.2707317073170732,1.1010476768497497,-0.0006179324178582,0.0006179324178582,17.097799043062206,0.5888462126810217,51.66999816894531
2017-09-20,0,27.0,0.2356247901916504,0.0953679623419953,0.0215686274509803,0.2048780487804878,1.364646463542079,-0.0039604012160969,0.0039604012160969,16.810146609007493,0.6436259551500914,49.86000061035156
2017-12-13,2,-47.0,0.0681020021438598,0.0476868562313841,0.0181818181818181,0.1019830028328611,-4.078370483667194,-0.0013833870029905,0.0013833870029905,16.424149331863898,0.6130263797475568,46.75
2018-03-21,0,30.0,0.0720949172973632,0.0395146263799831,0.0165484633569739,0.0960960960960961,-0.664239888840694,-0.0041563899296262,0.0041563899296262,15.486512093888653,0.5572650496482873,57.88999938964844
2018-06-13,0,-106.0,0.067035436630249,0.08245523958855,0.0241379310344827,0.104602510460251,-5.4680169610349605,-0.0022235310972634,0.0022235310972634,15.326535087719297,0.5467148248909603,55.959999084472656
2018-09-26,0,-21.0,0.0231415033340454,0.0249208406136003,0.0116731517509727,0.0231481481481481,-1.2218425777934545,-0.0013178705122981,0.0013178705122981,15.024704184704188,0.4876482256896123,49.380001068115234
2018-12-19,0,26.0,0.0262943506240844,0.0548258525404063,0.0067567567567567,0.1260162601626016,1.604711042293527,0.0053084866034472,0.0053084866034472,16.4189933941491,0.4874055500497836,59.400001525878906
2019-01-30,0,0.0,0.0453118085861206,0.1319516844708811,0.0067567567567567,0.2177419354838709,1.2716666820494833,0.0002568713088873,0.0002568713088873,16.129705416534687,0.5798633300072591,49.79999923706055
2019-03-20,0,16.0,0.0512695908546447,0.4356414731591939,0.0064102564102564,0.2068965517241379,1.6538461538461535,0.0003818980378665,0.0003818980378665,16.610813081308134,0.6368151714389928,43.68000030517578
2019-05-01,0,-24.0,0.0509706735610961,0.1856754176657307,0.0069444444444444,0.0625,-0.3163149171184007,0.0017705834902567,0.0017705834902567,15.702535027696316,0.6777800098911463,49.470001220703125
2019-06-19,1,14.0,0.0690441727638244,0.057265674864704,0.0198675496688741,0.22568093385214,0.3973597071195132,0.0,0.0,16.585895128762022,0.611254538368229,76.73999786376953
2019-07-31,2,44.0,0.0449287295341491,0.0034899255119716,0.0028901734104046,0.2272727272727272,4.596681284074584,0.0004907373426909,0.0004907373426909,17.03997041420119,0.6532517113788577,57.84000015258789
2019-09-18,3,-29.0,0.0142890810966491,0.048161306517255,0.0031545741324921,0.0503875968992248,0.2023335479568846,-0.0007244627218574,0.0007244627218574,17.094257134451308,0.6564936437390312,84.76000213623047
2019-10-30,2,-20.0,0.0124119520187377,0.0657369404692541,0.0033670033670033,0.0530612244897959,-0.6542445501333356,-0.0047007860925078,0.0047007860925078,16.581970224897052,0.5919206123157698,67.61000061035156
2019-12-11,0,-16.0,0.0320460200309753,0.0884449271993203,0.0,0.1181434599156118,-1.5654887339032617,-0.0033894234119082,0.0033894234119082,16.438930481283425,0.6279226363408096,67.08999633789062
2020-01-29,0,1.0,0.00245863199234,0.0042491308836773,0.0,0.0211864406779661,-1.0083392595882643,0.0057637047167501,0.0057637047167501,16.60850482850483,0.6363297289541331,65.5999984741211
2020-03-02,0,-192.0,0.2883133888244629,0.0114886370826173,0.0222222222222222,0.6206896551724138,-12.128908330054754,0.0212327155284403,0.0212327155284403,12.385441860465118,0.7755419548124902,109.66999816894533
2020-03-15,1,437.0,0.2003229856491089,0.0460678951984103,0.0018975332068311,0.4916864608076009,2.935948445337718,-0.0117480678236702,0.0117480678236702,15.367851414098777,0.7648563275045152,138.39999389648438
2020-04-29,0,-138.0,0.145205020904541,0.0825629034714604,0.0025706940874035,0.3506097560975609,0.5248912653285768,-0.0010115201761595,0.0010115201761595,16.1715625,0.6932291295817269,58.88999938964844
2020-06-10,0,3.0,0.0060349702835083,0.1462004691628472,0.0025510204081632,0.0628742514970059,0.3797437310365388,-0.0005671184862484,0.0005671184862484,15.949068152454782,0.7101408777192345,62.939998626708984
2020-07-29,0,21.0,0.0330684781074523,0.0018744955571102,0.0121065375302663,0.094017094017094,0.3440180937500941,0.0001118630797072,0.0001118630797072,15.808235294117647,0.6812402849351239,41.27000045776367
2020-09-16,2,15.0,0.1371787786483764,0.0257232729656001,0.014018691588785,0.3504273504273504,-0.0344153791059074,0.0005600672227049,0.0005600672227049,15.48218688432311,0.7018498674910889,43.060001373291016
2020-11-05,0,-3.0,0.0038363933563232,0.0043199026336273,0.0141176470588235,0.037037037037037,1.0590946208574583,0.0072129243179575,0.0072129243179575,15.597094259390506,0.6987352156836034,47.7400016784668
2020-12-16,0,26.0,-1.1920928955078125e-07,0.0456717838649638,0.0133037694013303,0.0769230769230769,2.233763723971682,0.0007929765354639,0.0007929765354639,15.5319696969697,0.699406687027661,48.13999938964844
2021-01-27,0,2.0,0.0199862718582153,0.039182580250781,0.0132450331125827,0.0891891891891892,1.4953678062988267,0.00364631215302,0.00364631215302,15.771282051282054,0.6614255524453806,43.13999938964844
2021-03-17,0,-5.0,0.0129235982894897,0.0641384489135817,0.0133928571428571,0.0550964187327823,0.5913827325457303,-0.0043732709615589,0.0043732709615589,15.75018688024409,0.6467128327749201,70.80999755859375
2021-04-28,0,-4.0,0.0126705765724182,0.1591457189540105,0.0135135135135135,0.0612813370473537,-0.0192355122988474,-0.0034256722414664,0.0034256722414664,15.099280418135413,0.607973991470226,60.150001525878906
