date,S_t,U_t,P_t,tone_strength,Vol_t,DeltaPrice_t,return_pct,sigma_wide,sigma_pre,CredGap_t,t5yifr,regime,VIX_t,has_pressconf,S_x_CredGap,S_x_VIX,U_x_CredGap
2014-03-19,0.1070042175527375,0.7210481250505116,0.13605515793895503,0.13605515793895503,0.000711269253279,-0.5625,-0.4528871556170587,0.0005964089850775,0.0001138736623416,0.5899999999999999,2.59,above_target,14.52,True,0.06313248835611511,1.5537012388657483,0.4254183937798018
2014-06-18,0.2663758822406332,0.7234003178274898,-0.6589289739673541,0.6589289739673541,0.0004375923270084,0.140625,0.1132645356154039,0.0003551635486995,0.0001241927989057,0.4900000000000002,2.49,above_target,12.06,True,0.13052418229791032,3.2124931398220364,0.3544661557354702
2014-09-17,0.2376388448654957,0.7937212696831141,-0.4468668650921106,0.4468668650921106,0.0005903740572578,-0.28125,-0.2261022484612485,0.0004640007016194,0.0001109674694882,0.4900000000000002,2.49,above_target,12.73,True,0.11644303398409293,3.0251424951377603,0.3889234221447261
2014-12-17,0.2375345043414695,0.6807742151840431,0.4110119371470346,0.4110119371470346,0.0006481400437558,0.03125,0.0245428886979997,0.0005662648374846,8.242780141340687e-05,0.08999999999999986,2.09,anchored,23.57,True,0.021378105390732222,5.598688267328436,0.06126967936656379
2015-03-18,0.1833341939544135,0.6795457619728793,-0.08571602345950925,0.08571602345950925,0.0007064331907226,0.734375,0.5754867148279662,0.0005698137159758,0.0001205717726559,0.06000000000000005,1.94,anchored,15.66,True,0.01100005163726482,2.8710134773261156,0.04077274571837279
2015-06-17,0.2758735824180277,0.7117145874650236,-0.40157373620748027,0.40157373620748027,0.0004530933978083,0.6875,0.548423283061199,0.000385655694894,0.0001162128431321,0.08999999999999986,2.09,anchored,14.81,True,0.024828622417622452,4.08568775561099,0.06405431287185202
2015-09-17,0.1785634755156934,0.7034857794967329,0.0815846324342385,0.0815846324342385,0.0004397794266023,0.5625,0.443513613403967,0.0003806170157041,0.0001416295364229,0.07000000000000006,1.93,anchored,21.35,True,0.01249944328609855,3.8123302022600543,0.04924400456477134
2015-12-16,0.2783094062004238,0.7236160838168443,0.2958674932585802,0.2958674932585802,0.000469392708443,0.125,0.0993912287240651,0.0004051263789266,0.0001309525176698,0.26,1.74,below_target,20.95,True,0.07236044561211019,5.830582059898879,0.1881401817923795
2016-03-16,0.2692691121054323,0.7142929972033016,-0.1639292352740782,0.1639292352740782,0.0005311187422393,0.546875,0.4267772222899646,0.0004388829191328,0.0001067429669994,0.3500000000000001,1.65,below_target,16.84,True,0.09424418923690134,4.53449184785548,0.25000254902115565
2016-06-15,0.1345664702944065,0.7678218078116575,-0.023714739583233314,0.023714739583233314,0.0003362166370051,0.28125,0.2132701421800947,0.0002775130236162,7.579703844169235e-05,0.55,1.45,below_target,20.5,True,0.07401155866192358,2.758612641035333,0.4223019942964117
2016-09-21,0.3180910631548613,0.688749886847033,-0.3672607191203655,0.3672607191203655,0.00027909370573,0.21875,0.1678254615200192,0.0002466308923333,8.097935497021819e-05,0.3500000000000001,1.65,below_target,15.92,True,0.11133187210420148,5.064009725425392,0.2410624603964616
