date,is_pressconf,Vol_narrow,Vol_ext,Vol_norm,sigma_b1,sigma_b2,sigma_b3,sigma_b4,DeltaPrice_daily
2014-01-29,False,,,,,,,,0.6875
2014-03-19,True,0.0008913057674013749,0.0004961789203626965,6.246126089677554,0.00011792630814147929,0.00041304192935894,0.00028261642017868435,0.0004592029465285508,-1.0
2014-04-30,False,,,,,,,,0.375
2014-06-18,True,0.0005159585638618121,0.00029796760237334256,3.523491948520021,0.00022303330051390207,0.0007710177142280366,0.00039713582402861234,0.00033947611905750714,0.65625
2014-07-30,False,,,,,,,,-0.765625
2014-09-17,True,0.0007565642024366303,0.00036342661452428435,5.320244392169175,7.944423271060619e-05,0.0007754853724356664,0.0004653046921501116,0.00045531178180299324,-0.453125
2014-10-29,False,,,,,,,,-0.3125
2014-12-17,True,0.0008051446579898225,0.00048804258906171775,7.863124244999942,0.00014696143418870694,0.001256743761495744,0.0006518735286237281,0.00046027856322913347,-0.859375
2015-01-28,False,,,,,,,,0.78125
2015-03-18,True,0.0009233518781513621,0.0004870040367137607,5.859026330637859,0.0002336291560400757,0.00041556894457159136,0.0003994038194599923,0.0005141733119308087,1.34375
2015-04-29,False,,,,,,,,-0.21875
2015-06-17,True,0.0005697240469697027,0.0003273716010332621,3.898823792592918,0.0001335913992809755,0.0005539098861305455,0.0004122584174445292,0.0003388137534303743,0.265625
2015-07-29,False,,,,,,,,-0.25
2015-09-17,True,0.0005308719389043582,0.00033439408235219186,3.1051392083155354,0.0003020956755698999,0.0006418992112825559,0.0002844926451156441,0.0003635196912896819,0.953125
2015-10-28,False,,,,,,,,-0.640625
2015-12-16,True,0.0005935394295241141,0.0003472201623132742,3.5844496676771445,0.00013279523120924864,0.0007014645682021102,0.0004146232838348414,0.00031804616827387416,-0.328125
2016-01-27,False,,,,,,,,0.078125
2016-03-16,True,0.0006460673462081494,0.0003619359856218752,4.975679027568021,0.0001163394499495769,0.0003991430775051698,0.00019463459390166332,0.0001486190610753044,0.75
2016-04-27,False,,,,,,,,0.71875
2016-06-15,True,0.0004292474541265068,0.00023965778469398581,4.435748993857301,0.00014816219566339884,0.00040740868325744503,0.00015227245686474163,0.0001141270326620906,0.578125
2016-07-27,False,,,,,,,,0.515625
2016-09-21,True,0.00030036838778226953,0.00021350524246210566,3.4464797334165285,0.00013445542839313296,0.00038092207529692143,0.00020549215024976333,0.00033116559003337043,0.21875
2016-11-02,False,,,,,,,,0.25
2016-12-14,True,0.0007236102680690136,0.00040028732576367264,3.999984694873618,0.0001167258046661575,0.0005308374011659092,0.0002287185110556093,0.00015984975933614729,-0.9375
2017-02-01,False,,,,,,,,-0.125
2017-03-15,True,0.0010713477904510493,0.0005207877587992384,8.261020533543975,0.00014327691263622396,0.0008213674231545636,0.0003577648295451753,0.0002505366243996356,0.9375
2017-05-03,False,,,,,,,,-0.328125
2017-06-14,True,0.00028490205519832065,0.0002222996865051045,2.479129469188384,0.00012220831032462915,0.00036186846007885137,0.000246320362665669,0.00035991627917296296,0.640625
2017-07-26,False,,,,,,,,0.453125
2017-09-20,True,0.0002884483371999603,0.00019480024958898524,2.5089835901059625,0.00010273169628155725,0.00023221178481068927,0.00014977518297998795,0.00022287645302015185,-0.375
2017-11-01,False,,,,,,,,0.078125
2017-12-13,True,0.00023293669502053867,0.00016616064788231154,1.9568890516346151,0.00013043017586207236,0.00024943230674298714,0.00015263113757205577,0.00014625657671675803,0.453125
2018-01-31,False,,,,,,,,-0.109375
2018-03-21,True,0.00040678617517582113,0.00024938850604604623,2.964660814435588,0.00010631119898113847,0.0003621399083833257,0.00016308171873202835,0.00015561575569284536,0.125
2018-05-02,False,,,,,,,,0.03125
2018-06-13,True,0.0003748886983029047,0.00022750473803409088,3.6539511446780106,0.00010681710338431763,0.0004331042310208484,0.00016121794959148304,0.00029431281078356835,-0.125
2018-08-01,False,,,,,,,,-0.3125
2018-09-26,True,0.0001676432789421105,0.00016866158520231322,2.091099917735031,0.00010917364467858915,0.0002370959141576997,0.00010754342732273996,0.0002715139931291888,0.34375
